id,brand,name,display_size,main_camera,selfie_camera,chipset,storage_and_ram,battary,price
710,Apple,iPad 2 CDMA,"['9.7', 'inches,', '291.4', 'cm2']","['Single', '0.7', 'MP']","['Single', 'VGA']","['Apple', 'A5', '(45', 'nm)']","['16GB', '512MB', 'RAM,', '32GB', '512MB', 'RAM,', '64GB', '512MB', 'RAM']","['Non-removable', 'Li-Po', '6930', 'mAh', 'battery', '(25', 'Wh)']",NaN
711,Apple,iPad 2 Wi-Fi,"['9.7', 'inches,', '291.4', 'cm2']","['Single', '0.7', 'MP']","['Single', 'VGA']","['Apple', 'A5', '(45', 'nm)']","['16GB', '512MB', 'RAM,', '32GB', '512MB', 'RAM,', '64GB', '512MB', 'RAM']","['Non-removable', 'Li-Po', '6930', 'mAh', 'battery', '(25', 'Wh)']","['About', '200', 'EUR']"
712,Apple,iPad 2 Wi-Fi + 3G,"['9.7', 'inches,', '291.4', 'cm2']","['Single', '0.7', 'MP']","['Single', 'VGA']","['Apple', 'A5', '(45', 'nm)']","['16GB', '512MB', 'RAM,', '32GB', '512MB', 'RAM,', '64GB', '512MB', 'RAM']","['Non-removable', 'Li-Po', '6930', 'mAh', 'battery', '(25', 'Wh)']","['About', '200', 'EUR']"
713,Apple,iPad 3 Wi-Fi,"['9.7', 'inches,', '291.4', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', 'VGA,', 'videocalling', 'over', 'Wi-Fi', 'only']","['Apple', 'A5X', '(45', 'nm)']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM,', '64GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '11560', 'mAh', 'battery', '(42.5', 'Wh)']",NaN
714,Apple,iPad 3 Wi-Fi + Cellular,"['9.7', 'inches,', '291.4', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', 'VGA,', 'videocalling', 'over', 'Wi-Fi', 'only']","['Apple', 'A5X', '(45', 'nm)']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM,', '64GB', '1GB', 'RAM']","['Non-removable', 'Li-Po', '11560', 'mAh', 'battery', '(42.5', 'Wh)']","['About', '290', 'EUR']"
715,Apple,iPad 4 Wi-Fi,"['9.7', 'inches,', '291.4', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '1.2', 'MP']","['Apple', 'A6X', '(32', 'nm)']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM,', '64GB', '1GB', 'RAM,', '128G...']","['Non-removable', 'Li-Po', '11560', 'mAh', 'battery', '(42.5', 'Wh)']","['About', '400', 'EUR']"
716,Apple,iPad 4 Wi-Fi + Cellular,"['9.7', 'inches,', '291.4', 'cm2']","['Single', '5', 'MP,', 'AF']","['Single', '1.2', 'MP']","['Apple', 'A6X', '(32', 'nm)']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM,', '64GB', '1GB', 'RAM,', '128G...']","['Non-removable', 'Li-Po', '11560', 'mAh', 'battery', '(42.5', 'Wh)']","['About', '350', 'EUR']"
717,Apple,iPad 9.7 (2017),"['9.7', 'inches,', '291.4', 'cm2']","['Single', '8', 'MP,', 'f/2.4,', '31mm', '(standard),', '1.12µm,', 'AF']","['Single', '1.2', 'MP,', 'f/2.2,', '31mm', '(standard)']","['Apple', 'A9', '(14', 'nm)']","['32GB', '2GB', 'RAM,', '128GB', '2GB', 'RAM']","['Non-removable', 'Li-Po', '8827', 'mAh', 'battery', '(32.9', 'Wh)']","['About', '500', 'EUR']"
718,Apple,iPad 9.7 (2018),"['9.7', 'inches,', '291.4', 'cm2']","['Single', '8', 'MP,', 'f/2.4,', '31mm', '(standard),', '1.12µm,', 'AF']","['Single', '1.2', 'MP,', 'f/2.2,', '31mm', '(standard)']","['Apple', 'A10', 'Fusion', '(16', 'nm)']","['32GB', '2GB', 'RAM,', '128GB', '2GB', 'RAM']","['Non-removable', 'Li-Po', '8827', 'mAh', 'battery', '(32.9', 'Wh)']",NaN
719,Apple,iPad Air,"['9.7', 'inches,', '291.4', 'cm2']","['Single', '5', 'MP,', 'f/2.4,', '33mm', '(standard),', 'AF']","['Single', '1.2', 'MP']","['Apple', 'A7', '(28', 'nm)']","['16GB', '1GB', 'RAM,', '32GB', '1GB', 'RAM,', '64GB', '1GB', 'RAM,', '128G...']","['Non-removable', 'Li-Po', '8600', 'mAh', 'battery', '(32.4', 'Wh)']",NaN
720,Apple,iPad Air (2019),"['10.5', 'inches,', '341.4', 'cm2']","['Single', '8', 'MP,', 'f/2.4,', '31mm', '(standard),', '1.12µm,', 'AF']","['Single', '7', 'MP,', 'f/2.2,', '31mm', '(standard)']","['Apple', 'A12', 'Bionic', '(7', 'nm)']","['64GB', '3GB', 'RAM,', '256GB', '3GB', 'RAM']","['Non-removable', 'Li-Po', '8134', 'mAh', 'battery', '(30.8', 'Wh)']",NaN
721,Apple,iPad Air 2,"['9.7', 'inches,', '291.4', 'cm2']","['Single', '8', 'MP,', 'f/2.4,', '31mm', '(standard),', '1.12µm,', 'AF']","['Single', '1.2', 'MP,', 'f/2.2,', '31mm', '(standard)']","['Apple', 'A8X', '(20', 'nm)']","['16GB', '2GB', 'RAM,', '32GB', '2GB', 'RAM,', '64GB', '2GB', 'RAM,', '128G...']","['Non-removable', 'Li-Po', '7340', 'mAh', 'battery', '(27.62', 'Wh)']",NaN
